Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Sweden,SWE,2005,41.8,45440.2967492535,9038627.0,Europe
Ethiopia,ETH,2005,5.001709092,862.35534188426,76346310.0,Africa
Malta,MLT,2005,18.6,28992.9245490961,404659.0,Europe
Cambodia,KHM,2005,2.949574311,2120.55171733923,13273355.0,Asia
Estonia,EST,2005,31.1,26093.1591109829,1355650.0,Europe
Rwanda,RWA,2005,6.542097526,1148.44637245018,8840220.0,Africa
Guyana,GUY,2005,9.695523994,7965.37804381727,746156.0,South America
Armenia,ARM,2005,13.06479534,7419.87119017403,2981262.0,Asia
Germany,DEU,2005,37.1,43884.5352789987,81602739.0,Europe
Iceland,ISL,2005,28.7,48104.6518132004,294976.0,Europe
Spain,ESP,2005,21.7,37963.3658355296,44019118.0,Europe
Ireland,IRL,2005,21.7,57691.5616452959,4141218.0,Europe
Czechia,CZE,2005,22.8,30384.4466487841,10258165.0,Europe
Poland,POL,2005,25.2,18937.4751533604,38368957.0,Europe
Indonesia,IDN,2005,6.033661636,6699.27209089739,226289468.0,Asia
Portugal,PRT,2005,16.6,31076.6441205289,10508494.0,Europe
Lithuania,LTU,2005,28.4,21053.1846048184,3344259.0,Europe
South Korea,KOR,2005,19.957509,28640.7062360909,48701069.0,Asia
Italy,ITA,2005,27.5,44260.8274173515,58281209.0,Europe
Senegal,SEN,2005,6.589216079,2758.35344646235,11090123.0,Africa
Denmark,DNK,2005,43.7,51483.273786293,5421701.0,Europe
Austria,AUT,2005,34.5,49316.2647023136,8253656.0,Europe
Bulgaria,BGR,2005,18.6,14356.019677453,7686964.0,Europe
Slovakia,SVK,2005,23.6,20072.3500036399,5398962.0,Europe
Peru,PER,2005,11.71401961,7519.02906932011,27866140.0,South America
Egypt,EGY,2005,5.2738374,8397.03244402289,75523576.0,Africa
Luxembourg,LUX,2005,29.3,104025.415860951,457848.0,Europe
United States,USA,2005,26.58920288,54353.0685764315,294993509.0,North America
Slovenia,SVN,2005,21.3,31133.7151910898,1994979.0,Europe
Greece,GRC,2005,19.8,34732.6440722251,11224800.0,Europe
Netherlands,NLD,2005,34.6,49467.4354267059,16367153.0,Europe
Puerto Rico,PRI,2005,20.87134965,34370.7146069867,3631885.0,North America
Zimbabwe,ZWE,2005,10.15553456,2517.67270711744,12076697.0,Africa
Colombia,COL,2005,7.650872912,10049.1261807666,42647731.0,South America
United Kingdom,GBR,2005,32.0,42629.9482187521,60287953.0,Europe
Congo,COG,2005,8.861331316,4638.19394755187,3622775.0,Africa
